time,open,high,low,close
2022-08-15T01:00:00+01:00,11212.96,11570.06,10841.15,11086.55
2022-08-16T01:00:00+01:00,11089.05,11238.21,10823.15,11006.66
2022-08-17T01:00:00+01:00,11003.87,11680,10890,11158
2022-08-18T01:00:00+01:00,11158,11346,9899,10215
2022-08-19T01:00:00+01:00,10215,10306,8580,8625
2022-08-20T01:00:00+01:00,8627,9118,8241,8542
2022-08-21T01:00:00+01:00,8540,8899,8488,8752
2022-08-22T01:00:00+01:00,8753,8960,8235,8931
2022-08-23T01:00:00+01:00,8937,9364,8759,9216
2022-08-24T01:00:00+01:00,9226,9578,8996,9343
2022-08-25T01:00:00+01:00,9348,10258,9340,9797
2022-08-26T01:00:00+01:00,9792,9978,8860,8986
2022-08-27T01:00:00+01:00,8984,9135,8578,8773
2022-08-28T01:00:00+01:00,8769,8989,8428,8466
2022-08-29T01:00:00+01:00,8484,9130,8396,9079
2022-08-30T01:00:00+01:00,9075,9310,8594,8879
2022-08-31T01:00:00+01:00,8884,9290,8845,9022
2022-09-01T01:00:00+01:00,9021,9354,8770,9215
2022-09-02T01:00:00+01:00,9215,10518,9072,10075
2022-09-03T01:00:00+01:00,10075,10101,9374,9782
2022-09-04T01:00:00+01:00,9784,9861,9275,9445
2022-09-05T01:00:00+01:00,9447,9611,9278,9500
2022-09-06T01:00:00+01:00,9500,9779,8535,8618
2022-09-07T01:00:00+01:00,8620,9605,8472,9328
2022-09-08T01:00:00+01:00,9334,9550,9000,9264
2022-09-09T01:00:00+01:00,9265,11380,9241,10465
2022-09-10T01:00:00+01:00,10441,10565,10121,10438
2022-09-11T01:00:00+01:00,10430,10648,9894,10196
2022-09-12T01:00:00+01:00,10202,10399,9701,9754
2022-09-13T01:00:00+01:00,9757,10193,9000,9024
2022-09-14T01:00:00+01:00,9024,9364,8880,9192
2022-09-15T01:00:00+01:00,9195,9222,8444,8521
2022-09-16T01:00:00+01:00,8525,8857,8377,8664
2022-09-17T01:00:00+01:00,8663,9399,8662,9343
2022-09-18T01:00:00+01:00,9347,9370,7957,8345
2022-09-19T01:00:00+01:00,8340,8607,8072,8481
2022-09-20T01:00:00+01:00,8474,8639,8303,8454
2022-09-21T01:00:00+01:00,8450,8862,7799,7983
2022-09-22T01:00:00+01:00,7984,8540,7967,8444
2022-09-23T01:00:00+01:00,8446,8653,8039,8420
2022-09-24T01:00:00+01:00,8421,8497,8172,8221
2022-09-25T01:00:00+01:00,8223,8377,8019,8086
2022-09-26T01:00:00+01:00,8077,8395,7944,8336
2022-09-27T01:00:00+01:00,8335,8858,8135,8291
2022-09-28T01:00:00+01:00,8305,8364,7897,8212
2022-09-29T01:00:00+01:00,8211,8294,7955,8137
2022-09-30T01:00:00+01:00,8135,8390,8037,8122
2022-10-01T01:00:00+01:00,8122,8201,8011,8076
2022-10-02T01:00:00+01:00,8078,8143,7820,7876
2022-10-03T01:00:00+01:00,7877,8165,7808,8115
2022-10-04T01:00:00+01:00,8115,8366,8061,8343
2022-10-05T01:00:00+01:00,8346,8407,8113,8306
2022-10-06T01:00:00+01:00,8306,8458,8143,8228
2022-10-07T01:00:00+01:00,8223,8241,8000,8082
2022-10-08T01:00:00+01:00,8075,8138,7963,8042
2022-10-09T01:00:00+01:00,8038,8130,7992,8087
2022-10-10T01:00:00+01:00,8084,8184,7850,7856
